"[p,q,P,Q]",AIC
"[0, 0, 3, 3]",1403625.8813286936
"[0, 0, 2, 2]",1404979.4422959385
"[0, 0, 1, 3]",1421661.0198266385
"[0, 0, 3, 1]",1427454.6396025326
"[0, 0, 2, 1]",1427739.1977178052
"[0, 0, 1, 2]",1428345.0365239815
"[0, 0, 0, 2]",1428678.9106840482
"[0, 0, 0, 3]",1429228.0545154244
"[0, 0, 3, 0]",1430403.6010294787
"[0, 0, 2, 0]",1431082.1500447567
"[0, 0, 1, 1]",1437619.8893268788
"[0, 0, 0, 1]",1438513.330536751
"[0, 0, 1, 0]",1439229.8374974236
"[0, 0, 0, 0]",2141880.789230443
"[3, 2, 0, 1]",
