date,hour,value
2014-01-31,10,216113.0
2014-01-31,11,215684.0
2014-01-31,12,213043.0
2014-01-31,13,212612.0
2014-01-31,14,205431.0
2014-01-31,15,200031.0
2014-01-31,16,198414.0
2014-01-31,17,198282.0
2014-01-31,18,204254.0
2014-01-31,19,216564.0
2014-01-31,20,215911.0
2014-01-31,21,213669.0
2014-01-31,22,201596.0
2014-01-31,23,186430.0
2014-02-01,00,172504.0
2014-02-01,01,156851.0
2014-02-01,02,146450.0
2014-02-01,03,141917.0
2014-02-01,04,138949.0
2014-02-01,05,138358.0
2014-02-01,06,140189.0
2014-02-01,07,146361.0
2014-02-01,08,155705.0
2014-02-01,09,172290.0
2014-02-01,10,187930.0
2014-02-01,11,190782.0
2014-02-01,12,189229.0
2014-02-01,13,190502.0
2014-02-01,14,187290.0
2014-02-01,15,177968.0
2014-02-01,16,174077.0
2014-02-01,17,170848.0
2014-02-01,18,177915.0
2014-02-01,19,192812.0
2014-02-01,20,195820.0
2014-02-01,21,195879.0
2014-02-01,22,188371.0
2014-02-01,23,176025.0
2014-02-02,00,161553.0
2014-02-02,01,147444.0
2014-02-02,02,136470.0
2014-02-02,03,130628.0
2014-02-02,04,128630.0
2014-02-02,05,127693.0
2014-02-02,06,130468.0
2014-02-02,07,134309.0
2014-02-02,08,136503.0
2014-02-02,09,148722.0
2014-02-02,10,162604.0
2014-02-02,11,168423.0
2014-02-02,12,166715.0
2014-02-02,13,167019.0
2014-02-02,14,165666.0
2014-02-02,15,159471.0
2014-02-02,16,155705.0
2014-02-02,17,154618.0
2014-02-02,18,165348.0
2014-02-02,19,184292.0
2014-02-02,20,192682.0
2014-02-02,21,195575.0
2014-02-02,22,190546.0
2014-02-02,23,175861.0
2014-02-03,00,158665.0
2014-02-03,01,144943.0
2014-02-03,02,136574.0
2014-02-03,03,133177.0
2014-02-03,04,133207.0
2014-02-03,05,137840.0
2014-02-03,06,156167.0
2014-02-03,07,184916.0
2014-02-03,08,207992.0
2014-02-03,09,217683.0
2014-02-03,10,224167.0
2014-02-03,11,225008.0
2014-02-03,12,223935.0
2014-02-03,13,223835.0
2014-02-03,14,216469.0
2014-02-03,15,211739.0
2014-02-03,16,209786.0
2014-02-03,17,210571.0
2014-02-03,18,215441.0
2014-02-03,19,228510.0
2014-02-03,20,229230.0
2014-02-03,21,225475.0
2014-02-03,22,208880.0
2014-02-03,23,189409.0
2014-02-04,00,171134.0
2014-02-04,01,156454.0
2014-02-04,02,148713.0
2014-02-04,03,144431.0
2014-02-04,04,143823.0
2014-02-04,05,147463.0
2014-02-04,06,161608.0
2014-02-04,07,190199.0
2014-02-04,08,210390.0
2014-02-04,09,218892.0
2014-02-04,10,223158.0
2014-02-04,11,223122.0
2014-02-04,12,221764.0
2014-02-04,13,221448.0
2014-02-04,14,213076.0
2014-02-04,15,209533.0
2014-02-04,16,209601.0
2014-02-04,17,211994.0
2014-02-04,18,218961.0
2014-02-04,19,230667.0
2014-02-04,20,232116.0
2014-02-04,21,227259.0
2014-02-04,22,209678.0
2014-02-04,23,189432.0
2014-02-05,00,173190.0
2014-02-05,01,158846.0
2014-02-05,02,149921.0
2014-02-05,03,146081.0
2014-02-05,04,146657.0
2014-02-05,05,147792.0
2014-02-05,06,162121.0
2014-02-05,07,190294.0
2014-02-05,08,208805.0
2014-02-05,09,217792.0
2014-02-05,10,219973.0
2014-02-05,11,220434.0
2014-02-05,12,217104.0
2014-02-05,13,215845.0
2014-02-05,14,208496.0
2014-02-05,15,203538.0
2014-02-05,16,202713.0
2014-02-05,17,202972.0
2014-02-05,18,207626.0
2014-02-05,19,221876.0
2014-02-05,20,223264.0
2014-02-05,21,219468.0
2014-02-05,22,205260.0
2014-02-05,23,187298.0
2014-02-06,00,169706.0
2014-02-06,01,155777.0
2014-02-06,02,146717.0
2014-02-06,03,144427.0
2014-02-06,04,143344.0
2014-02-06,05,145887.0
