date,weekday,working_day,value
2015-11-22,6,1,3530338.0
2015-11-23,0,1,4334625.0
2015-11-24,1,1,4533002.0
2015-11-25,2,1,4489321.0
2015-11-26,3,1,4443346.0
2015-11-27,4,1,4366350.0
2015-11-28,5,1,3922315.0
2015-11-29,6,1,3645986.0
2015-11-30,0,1,4405575.0
2015-12-01,1,1,4511537.0
2015-12-02,2,1,4505451.0
2015-12-03,3,1,4454610.0
2015-12-04,4,1,4404731.0
2015-12-05,5,1,3957320.0
2015-12-06,6,0,3639545.0
2015-12-07,0,1,3845202.0
2015-12-08,1,0,3690576.0
2015-12-09,2,1,4315491.0
2015-12-10,3,1,4407416.0
2015-12-11,4,1,4397290.0
2015-12-12,5,1,3992997.0
2015-12-13,6,1,3732423.0
2015-12-14,0,1,4445332.0
2015-12-15,1,1,4467217.0
2015-12-16,2,1,4415765.0
2015-12-17,3,1,4399883.0
2015-12-18,4,1,4304967.0
2015-12-19,5,1,3935946.0
2015-12-20,6,1,3644268.0
2015-12-21,0,1,4232698.0
2015-12-22,1,1,4284580.0
2015-12-23,2,1,4200396.0
2015-12-24,3,1,3687179.0
2015-12-25,4,0,3136583.0
2015-12-26,5,1,3466940.0
2015-12-27,6,1,3437467.0
2015-12-28,0,1,3942964.0
2015-12-29,1,1,3921714.0
2015-12-30,2,1,3893639.0
2015-12-31,3,1,3601797.0
2016-01-01,4,0,3132829.0
2016-01-02,5,1,3505820.0
2016-01-03,6,1,3525667.0
2016-01-04,0,1,4020695.0
2016-01-05,1,1,3997681.0
2016-01-06,2,0,3544249.0
2016-01-07,3,1,4304962.0
2016-01-08,4,1,4325336.0
2016-01-09,5,1,3916094.0
2016-01-10,6,1,3729483.0
2016-01-11,0,1,4342212.0
2016-01-12,1,1,4473042.0
2016-01-13,2,1,4558198.0
2016-01-14,3,1,4593371.0
2016-01-15,4,1,4560394.0
2016-01-16,5,1,4157358.0
2016-01-17,6,1,3946788.0
2016-01-18,0,1,4643008.0
2016-01-19,1,1,4678632.0
2016-01-20,2,1,4661256.0
2016-01-21,3,1,4638403.0
2016-01-22,4,1,4551012.0
2016-01-23,5,1,4000519.0
2016-01-24,6,1,3690479.0
2016-01-25,0,1,4359517.0
2016-01-26,1,1,4470683.0
2016-01-27,2,1,4476948.0
2016-01-28,3,1,4472412.0
2016-01-29,4,1,4433438.0
2016-01-30,5,1,3994154.0
2016-01-31,6,1,3712233.0
2016-02-01,0,1,4311832.0
2016-02-02,1,1,4400351.0
2016-02-03,2,1,4422988.0
2016-02-04,3,1,4436488.0
2016-02-05,4,1,4437213.0
2016-02-06,5,1,4030926.0
2016-02-07,6,1,3718035.0
2016-02-08,0,1,4370126.0
2016-02-09,1,1,4457142.0
2016-02-10,2,1,4452048.0
2016-02-11,3,1,4446697.0
2016-02-12,4,1,4437836.0
2016-02-13,5,1,3992496.0
2016-02-14,6,1,3753850.0
2016-02-15,0,1,4527345.0
2016-02-16,1,1,4624860.0
2016-02-17,2,1,4685908.0
2016-02-18,3,1,4713155.0
2016-02-19,4,1,4626886.0
2016-02-20,5,1,4102315.0
2016-02-21,6,1,3797416.0
2016-02-22,0,1,4398427.0
2016-02-23,1,1,4425677.0
2016-02-24,2,1,4471284.0
2016-02-25,3,1,4435516.0
2016-02-26,4,1,4512990.0
2016-02-27,5,1,4173608.0
2016-02-28,6,1,3831257.0
2016-02-29,0,1,4394844.0
2016-03-01,1,1,4489253.0
2016-03-02,2,1,4480075.0
2016-03-03,3,1,4429947.0
2016-03-04,4,1,4451909.0
2016-03-05,5,1,4001078.0
2016-03-06,6,1,3732404.0
2016-03-07,0,1,4561081.0
2016-03-08,1,1,4584562.0
2016-03-09,2,1,4652185.0
2016-03-10,3,1,4603533.0
2016-03-11,4,1,4507888.0
2016-03-12,5,1,4010420.0
2016-03-13,6,1,3700183.0
2016-03-14,0,1,4455564.0
2016-03-15,1,1,4534872.0
2016-03-16,2,1,4477046.0
2016-03-17,3,1,4482411.0
2016-03-18,4,1,4433269.0
2016-03-19,5,1,3932814.0
2016-03-20,6,1,3645954.0
2016-03-21,0,1,4288436.0
2016-03-22,1,1,4297180.0
2016-03-23,2,1,4207099.0
2016-03-24,3,0,3666167.0
2016-03-25,4,0,3401062.0
2016-03-26,5,1,3522012.0
2016-03-27,6,1,3217133.0
2016-03-28,0,1,3717019.0
2016-03-29,1,1,4095819.0
2016-03-30,2,1,4115073.0
