date,value,price,weekday,working_day,madrid_temp,barcelona_temp,bilbao_temp,sevilla_temp,valencia_temp
2020-07-25,3997696.0,92.00458333333334,5,1,29.29774416666669,24.83471166666669,19.705611666666687,31.60783083333336,26.728659583333357
2020-07-26,3779645.0,89.35458333333332,6,1,30.66175708333336,24.764103333333363,20.514938333333355,31.95650333333336,26.74332875000003
2020-07-27,4532088.0,97.14458333333332,0,1,31.303480000000015,25.754216666666693,21.22415625000002,29.34141541666669,27.50565083333336
2020-07-28,4640737.0,93.76625,1,1,30.31088583333336,26.011894166666693,19.55429500000002,29.748997500000023,27.890365000000028
2020-07-29,4649022.0,95.90833333333336,2,1,30.47557791666669,26.02819166666669,19.44545833333336,29.260106250000018,27.423985000000027
2020-07-30,4701222.0,99.17458333333332,3,1,30.44478750000003,26.85399958333335,25.734785416666693,29.877517500000025,27.728813333333356
2020-07-31,4627680.0,101.02833333333332,4,1,30.20872500000002,27.32392791666669,22.46959666666669,30.098300000000023,28.87352875000003
2020-08-01,4179448.0,91.89041666666668,5,1,29.96636416666669,27.76040916666669,19.77259750000002,32.23371708333335,28.85770083333336
2020-08-02,3809513.0,87.50875,6,1,27.74673916666669,26.147821666666687,18.73858125000002,31.308993750000024,27.74892541666669
2020-08-03,4222822.0,95.25541666666668,0,1,26.075984583333355,22.81242166666669,18.48040083333336,29.55857625000002,26.51561875000002
2020-08-04,4263593.0,94.01333333333334,1,1,26.099866250000023,22.233524166666697,18.56502875000002,28.88827833333335,26.017835833333358
2020-08-05,4371528.0,94.94208333333334,2,1,28.28552833333336,23.547114166666688,20.117792500000025,30.41983500000002,26.772384166666686
2020-08-06,4427981.0,96.26125,3,1,29.92935666666669,24.70083166666669,23.66394333333336,31.29364416666669,26.78262708333336
2020-08-07,4422215.0,97.4425,4,1,30.78324666666669,25.365299583333357,23.873242500000018,29.384606666666688,27.79132416666669
2020-08-08,3992575.0,96.18833333333332,5,1,29.93675000000002,26.05036916666669,22.02749291666669,30.263370833333354,28.31966500000002
2020-08-09,3741895.0,94.1725,6,1,30.366407083333357,26.52451750000002,22.334955000000026,29.888982916666688,28.03936166666669
2020-08-10,4189799.0,96.75333333333332,0,1,28.56720500000002,26.213679166666694,20.97689166666669,28.616705000000035,27.60222666666669
2020-08-11,4168820.0,97.51375,1,1,22.96194666666669,26.490248333333355,23.51885375000002,26.845889166666684,26.727970833333355
2020-08-12,4032772.0,98.39958333333334,2,1,21.38763958333336,26.045099166666688,22.213089166666688,24.82610458333336,27.93586625000002
2020-08-13,4066232.0,99.65333333333332,3,1,23.43184666666669,26.14987666666669,19.438664166666687,25.96686458333336,28.67806500000002
2020-08-14,4019878.0,95.5175,4,1,24.69356625000002,25.62950666666669,19.40164666666669,26.55793541666669,27.06935041666669
2020-08-15,3558539.0,91.28541666666666,5,0,22.98020875000002,24.99675958333336,19.25778541666669,25.75233250000002,27.048333750000022
2020-08-16,3330471.0,88.53625,6,1,21.609032500000023,24.55060375000002,19.00329916666669,25.841078750000023,28.274082916666696
2020-08-17,3829444.0,95.30083333333332,0,1,22.69553208333336,24.703372916666684,20.127841666666693,27.06123208333335,27.053106666666693
2020-08-18,4014405.0,97.07291666666669,1,1,24.38972208333336,24.641922916666687,21.38454583333335,29.11418083333336,26.425805000000025
2020-08-19,4123326.0,92.92458333333332,2,1,25.51136583333336,25.21521333333336,25.813481666666693,29.82038666666669,27.26742958333336
2020-08-20,4136240.0,92.77458333333334,3,1,25.76371708333336,25.473422500000023,24.12221708333336,27.53551500000003,26.813632916666688
2020-08-21,4195292.0,91.76791666666666,4,1,25.30245416666669,26.13895125000002,20.49712458333336,27.1899566666667,27.58145541666669
2020-08-22,3822182.0,91.36833333333334,5,1,25.79635166666669,25.84092666666669,19.272352500000025,29.50227291666669,27.069310000000023
2020-08-23,3522822.0,88.65333333333332,6,1,25.92252916666669,24.47825541666669,18.891351250000028,29.84002291666669,26.435267083333358
2020-08-24,4165274.0,97.89041666666668,0,1,26.65784250000002,23.499464583333364,19.342542500000025,27.83176083333335,25.975180416666685
2020-08-25,4400776.0,98.69916666666668,1,1,27.790778333333357,24.77112458333335,20.861841666666688,28.788354583333355,27.221611250000024
2020-08-26,4508774.0,98.41166666666668,2,1,28.572393333333363,25.390394583333347,21.15532666666669,29.989853750000023,27.32200833333336
2020-08-27,4543760.0,106.055,3,1,28.566979583333357,25.454726250000025,21.362074166666687,30.440830000000023,27.209731250000026
2020-08-28,4372517.0,99.285,4,1,26.68549083333336,24.98805000000002,17.373955833333355,28.859725000000022,26.89714041666669
2020-08-29,3571613.0,90.81791666666668,5,1,19.49170458333336,19.517054166666693,14.715479166666691,24.34757833333335,24.381210833333352
2020-08-30,3215011.0,94.14458333333332,6,1,17.572807083333355,18.94867541666669,14.629552083333351,25.68851958333336,22.456037500000026
2020-08-31,3864140.0,101.51875,0,1,18.98522458333336,19.996179166666693,16.676915000000026,25.41964041666669,23.05625833333336
2020-09-01,3998114.0,105.29875,1,1,20.93023000000002,21.04826208333336,18.14526791666669,25.134465833333355,23.19377000000002
2020-09-02,4053583.0,103.475,2,1,22.29167166666669,20.62561416666669,17.353843333333355,24.778507916666687,23.212201250000025
2020-09-03,4115199.0,105.66833333333334,3,1,23.586206666666687,21.97225416666669,18.27538375000002,26.94604875000003,23.940576250000024
2020-09-04,4135209.0,103.21208333333334,4,1,24.76402166666669,22.383111250000027,21.30417208333336,27.82195583333336,24.05796750000002
2020-09-05,3713846.0,93.97,5,1,25.18188750000002,22.86356958333336,18.62684500000002,27.68032250000003,23.653631250000014
2020-09-06,3419792.0,90.94125,6,1,25.39294833333336,22.78163166666669,17.05486458333336,27.846970000000024,24.182762916666693
