date,hour,value
23/04/2014,3,95.23
23/04/2014,4,95.41
23/04/2014,5,95.63
23/04/2014,6,104.21
23/04/2014,7,106.66
23/04/2014,8,109.25
23/04/2014,9,112.35
23/04/2014,10,111.59
23/04/2014,11,111.71
23/04/2014,12,111.41
23/04/2014,13,108.46
23/04/2014,14,106.46
23/04/2014,15,104.8
23/04/2014,16,103.97
23/04/2014,17,105.1
23/04/2014,18,104.81
23/04/2014,19,113.4
23/04/2014,20,115.6
23/04/2014,21,123.86
23/04/2014,22,111.5
23/04/2014,23,106.9
24/04/2014,0,108.43
24/04/2014,1,108.34
24/04/2014,2,106.95
24/04/2014,3,107.8
24/04/2014,4,103.98
24/04/2014,5,103.09
24/04/2014,6,108.08
24/04/2014,7,108.98
24/04/2014,8,112.84
24/04/2014,9,115.25
24/04/2014,10,111.94
24/04/2014,11,108.63
24/04/2014,12,105.22
24/04/2014,13,99.77
24/04/2014,14,90.98
24/04/2014,15,88.0
24/04/2014,16,82.05
24/04/2014,17,80.54
24/04/2014,18,79.04
24/04/2014,19,84.77
24/04/2014,20,94.76
24/04/2014,21,99.61
24/04/2014,22,89.56
24/04/2014,23,81.9
25/04/2014,0,77.41
25/04/2014,1,73.23
25/04/2014,2,72.27
25/04/2014,3,72.03
25/04/2014,4,72.36
25/04/2014,5,72.25
25/04/2014,6,76.08
25/04/2014,7,80.33
25/04/2014,8,85.86
25/04/2014,9,86.21
25/04/2014,10,81.24
25/04/2014,11,77.01
25/04/2014,12,76.68
25/04/2014,13,78.17
25/04/2014,14,75.5
25/04/2014,15,74.42
25/04/2014,16,71.54
25/04/2014,17,71.81
25/04/2014,18,71.57
25/04/2014,19,71.41
25/04/2014,20,78.52
25/04/2014,21,88.09
25/04/2014,22,82.48
25/04/2014,23,79.04
26/04/2014,0,79.9
26/04/2014,1,79.36
26/04/2014,2,75.33
26/04/2014,3,74.63
26/04/2014,4,74.07
26/04/2014,5,74.36
26/04/2014,6,75.5
26/04/2014,7,76.29
26/04/2014,8,75.43
26/04/2014,9,75.25
26/04/2014,10,78.3
26/04/2014,11,76.46
26/04/2014,12,77.34
26/04/2014,13,77.02
26/04/2014,14,73.0
26/04/2014,15,69.97
26/04/2014,16,69.24
26/04/2014,17,69.3
26/04/2014,18,69.77
26/04/2014,19,70.67
26/04/2014,20,73.31
26/04/2014,21,81.3
26/04/2014,22,79.9
26/04/2014,23,76.93
27/04/2014,0,80.38
27/04/2014,1,76.62
27/04/2014,2,74.5
27/04/2014,3,75.62
27/04/2014,4,75.88
27/04/2014,5,78.63
27/04/2014,6,80.03
27/04/2014,7,79.89
27/04/2014,8,77.82
27/04/2014,9,80.83
27/04/2014,10,84.34
27/04/2014,11,84.03
27/04/2014,12,83.77
27/04/2014,13,84.19
27/04/2014,14,79.37
27/04/2014,15,75.84
27/04/2014,16,70.33
27/04/2014,17,69.13
27/04/2014,18,68.49
27/04/2014,19,71.02
27/04/2014,20,85.6
27/04/2014,21,94.65
27/04/2014,22,94.94
27/04/2014,23,92.49
28/04/2014,0,97.42
28/04/2014,1,98.13
28/04/2014,2,97.74
28/04/2014,3,94.37
28/04/2014,4,94.1
28/04/2014,5,94.81
28/04/2014,6,98.74
28/04/2014,7,105.0
28/04/2014,8,108.21
28/04/2014,9,108.61
28/04/2014,10,108.23
28/04/2014,11,107.46
28/04/2014,12,106.3
28/04/2014,13,107.37
28/04/2014,14,102.53
28/04/2014,15,100.35
28/04/2014,16,98.75
28/04/2014,17,99.11
28/04/2014,18,98.67
28/04/2014,19,100.22
28/04/2014,20,111.74
28/04/2014,21,117.29
28/04/2014,22,113.67
28/04/2014,23,102.38
29/04/2014,0,103.19
29/04/2014,1,101.9
29/04/2014,2,96.95
29/04/2014,3,95.83
29/04/2014,4,94.2
29/04/2014,5,95.44
29/04/2014,6,102.54
29/04/2014,7,108.65
29/04/2014,8,110.32
29/04/2014,9,111.49
29/04/2014,10,111.3
29/04/2014,11,111.17
29/04/2014,12,107.92
29/04/2014,13,107.34
29/04/2014,14,103.88
29/04/2014,15,100.04
29/04/2014,16,94.91
29/04/2014,17,94.99
29/04/2014,18,95.17
29/04/2014,19,95.92
29/04/2014,20,105.91
29/04/2014,21,113.19
29/04/2014,22,109.6
29/04/2014,23,101.9
30/04/2014,0,99.1
30/04/2014,1,101.03
30/04/2014,2,101.23
30/04/2014,3,100.45
